NAME_E,id,stateabrev,pctlVolume_SF,pctlVolume_federal,pctlVolume_agg,pctlVolume_MF,pctlVolume_NonRes,pctlVolume_SB,pctlVolume_mission,pctlrace_agg,pctlrace_SF,pctlrace_MF,pctlrace_SB,pctlrace_mission,pctlrace_federal,pctlrace_NonRes,pctlpov_agg,pctlpov_SF,pctlpov_mission,pctlpov_federal,pctlpov_NonRes,pctlpov_SB,pctlpov_MF
"Spring Valley, NV",3268585,NV,75,11,73,69,100,93,23,28,36,26,27,65,98,14,9,6,13,3,92,2,16
"Baton Rouge, LA",2205000,LA,19,65,20,35,6,69,83,81,71,89,44,52,41,98,68,70,9,40,83,29,26
"Tacoma, WA",5370000,WA,60,83,58,89,51,53,95,40,38,32,15,1,1,4,100,78,92,100,79,83,35
"San Bernardino, CA",0665000,CA,52,42,43,54,29,13,68,79,87,41,72,22,41,79,62,63,60,56,20,85,32
"Modesto, CA",0648354,CA,55,18,49,36,37,28,13,77,83,49,45,62,43,18,55,70,46,62,12,46,43
"Fontana, CA",0624680,CA,93,48,97,75,65,72,47,2,2,22,13,61,20,58,2,3,65,83,16,15,69
"Des Moines, IA",1921000,IA,12,94,28,53,74,50,49,59,68,37,14,26,2,66,82,80,76,99,52,44,50
"Moreno Valley, CA",0649270,CA,86,54,92,89,98,12,30,14,10,42,75,81,86,39,18,18,32,18,93,97,82
"Santa Clarita, CA",0669088,CA,95,7,99,82,91,55,40,5,7,22,86,37,94,5,6,23,8,12,99,59,96
"Fayetteville, NC",3722920,NC,28,56,14,12,23,94,69,49,70,83,3,75,19,45,100,95,43,72,81,83,36
"Birmingham, AL",0107000,AL,18,37,21,55,3,96,56,46,36,57,12,76,78,97,54,42,25,37,54,14,15
"Oxnard, CA",0654652,CA,80,60,76,67,68,21,37,77,55,73,51,68,58,61,71,75,67,61,68,68,21
"Rochester, NY",3663000,NY,3,87,1,5,2,12,62,91,86,86,69,79,13,92,92,86,50,86,55,71,24
"Port St. Lucie, FL",1258715,FL,45,6,53,5,87,48,12,93,56,94,10,56,95,49,15,9,5,14,11,5,55
"Huntsville, AL",0137000,AL,39,29,43,25,4,98,15,41,33,84,26,93,80,72,54,53,35,21,39,57,47
"Grand Rapids, MI",2634000,MI,11,94,17,20,18,93,61,97,93,50,58,44,5,87,99,90,81,99,38,97,45
"Salt Lake City, UT",4967000,UT,61,72,64,61,31,60,91,68,35,65,86,3,12,86,65,47,100,94,64,69,80
"Frisco, TX",4827684,TX,96,8,100,23,93,100,14,23,15,94,9,76,98,6,3,18,10,3,2,16,67
"Yonkers, NY",3684000,NY,38,82,29,24,15,17,49,58,75,68,98,27,7,71,59,61,75,92,78,84,60
"Glendale, CA",0630000,CA,85,57,78,95,39,23,57,89,44,58,33,39,28,82,24,34,86,86,92,33,88
"Huntington Beach, CA",0636000,CA,79,25,80,81,75,68,28,37,16,3,42,28,33,11,18,11,75,69,8,12,98
"McKinney, TX",4845744,TX,90,63,96,66,93,98,21,1,1,3,1,70,55,1,11,15,40,30,1,18,4
"Aurora, IL",1703012,IL,38,5,61,15,96,87,32,30,32,67,41,54,78,40,12,10,70,31,6,19,73
"Montgomery, AL",0151000,AL,9,24,12,31,45,99,14,66,58,77,22,99,37,89,81,65,21,66,68,31,21
"Akron, OH",3901000,OH,3,80,2,3,26,10,19,96,95,87,66,80,11,88,94,89,48,89,64,53,31
"Amarillo, TX",4803000,TX,13,48,25,19,40,92,64,74,67,90,23,45,69,50,63,47,69,31,23,9,32
"Augusta, GA",1304204,GA,8,79,11,24,69,90,80,93,88,91,50,46,18,83,85,72,6,81,69,89,10
"Little Rock, AR",0541000,AR,29,58,41,25,12,82,98,21,18,57,8,5,20,74,28,26,1,72,35,8,6
"Tempe, AZ",0473000,AZ,36,30,38,81,59,69,42,66,83,12,4,43,69,3,95,86,82,37,84,26,71
"Columbus, GA",1319000,GA,17,62,21,46,56,95,3,46,52,35,16,100,49,59,82,74,19,46,77,32,10
"Overland Park, KS",2053775,KS,43,5,60,88,49,65,49,16,9,50,40,18,90,34,42,30,88,12,72,23,81
"Grand Prairie, TX",4830464,TX,29,8,31,68,79,68,23,15,15,85,24,67,68,16,17,14,52,40,4,9,47
"Cape Coral, FL",1210275,FL,49,1,54,6,64,57,16,89,66,40,98,41,94,15,19,18,3,12,91,2,32
"Tallahassee, FL",1270600,FL,31,21,25,63,15,41,94,58,53,69,65,6,75,58,72,72,4,26,72,56,56
"Sunrise Manor, NV",3271400,NV,40,31,33,59,91,74,24,53,46,43,72,84,98,21,30,24,39,7,98,98,74
"Enterprise, NV",3223770,NV,97,96,96,17,43,58,55,2,30,65,62,64,84,2,15,7,17,22,2,89,79
"Mobile, AL",0150000,AL,6,66,14,44,17,100,69,69,77,47,5,56,39,83,75,75,53,60,48,18,12
"Knoxville, TN",4740000,TN,23,83,24,18,18,66,52,33,40,61,17,32,52,55,74,78,52,24,44,51,35
"Shreveport, LA",2270000,LA,9,71,16,4,83,61,92,82,72,95,60,90,27,84,86,64,39,79,30,38,33
"Worcester, MA",2582000,MA,33,71,13,22,45,3,81,83,97,53,95,12,10,53,87,95,78,82,66,81,58
"Ontario, CA",0653896,CA,67,30,59,71,16,69,75,55,39,39,18,8,64,31,45,62,98,64,56,30,84
"Vancouver, WA",5374060,WA,52,44,52,83,62,27,46,43,92,1,13,20,42,7,55,93,72,39,13,52,86
"Chattanooga, TN",4714000,TN,20,35,26,42,10,75,48,84,81,87,83,66,55,94,94,89,76,67,59,72,13
